v ATLAS
# This file was created by ATLAS version 5.24.1.R on Thu Apr 30 18:30:32 2020.
#SSF 2.0 generic
##############################################################################
#                    Copyright (c) 1984 - 2017                               #
#                    Silvaco Inc. All rights reserved                        #
#                                                                            #
# This file format and the following Key are copyright Silvaco Inc.          #
# You may not use, this format or key without reproducing this message in    #
# full and obtaining express written permission from Silvaco Inc.            #
#                                                                            #
# To obtain such permission please contact: Silvaco Inc.                     #
#                                           support@silvaco.com              #
#                                                                            #
# KEY=SVC86hn7562asdx                       PROD=345                         #
##############################################################################
p 4 77 79 78 206
d   0.000000e+00  1.550000e+21  0.000000e+00  1.550000e+21
d   4.765625e-02  1.041977e+21  0.000000e+00  1.041977e+21
d   9.531250e-02  7.004615e+20  0.000000e+00  7.004615e+20
d   1.429687e-01  4.708803e+20  0.000000e+00  4.708803e+20
d   1.906250e-01  3.165460e+20 1.258879e-302  3.165460e+20
d   2.382812e-01  2.127958e+20 1.646077e-291  2.127958e+20
d   2.859375e-01  1.430505e+20 1.366638e-280  1.430505e+20
d   3.335937e-01  9.616469e+19 7.204272e-270  9.616469e+19
d   3.812500e-01  6.464604e+19 2.411348e-259  6.464604e+19
d   4.289062e-01  4.345785e+19 5.124634e-249  4.345785e+19
d   4.765625e-01  2.921423e+19 6.915108e-239  2.921423e+19
d   5.242187e-01  1.963906e+19 5.924727e-229  1.963906e+19
d   5.718750e-01  1.320222e+19 3.223078e-219  1.320222e+19
d   6.195312e-01  8.875102e+18 1.113285e-209  8.875102e+18
d   6.671875e-01  5.966225e+18 2.441605e-200  5.966225e+18
d   7.148438e-01  4.010753e+18 3.399989e-191  4.010753e+18
d   7.625000e-01  2.696200e+18 3.006164e-182  2.696200e+18
d   8.101562e-01  1.812502e+18 1.687645e-173  1.812502e+18
d   8.578125e-01  1.218442e+18 6.015653e-165  1.218442e+18
d   9.054687e-01  8.190889e+17 1.361500e-156  8.190889e+17
d   9.531250e-01  5.506267e+17 1.956526e-148  5.506267e+17
d   1.000781e+00  3.701550e+17 1.785199e-140  3.701550e+17
d   1.048437e+00  2.488341e+17 1.034239e-132  2.488341e+17
d   1.096094e+00  1.672770e+17 3.804421e-125  1.672770e+17
d   1.143750e+00  1.124508e+17 8.885651e-118  1.124508e+17
d   1.191406e+00  7.559424e+16 1.317720e-110  7.559424e+16
d   1.239062e+00  5.081770e+16 1.240767e-103  5.081770e+16
d   1.286719e+00  3.416184e+16  7.418062e-97  3.416184e+16
d   1.334375e+00  2.296506e+16  2.815943e-90  2.296506e+16
d   1.382031e+00  1.543810e+16  6.787198e-84  1.543810e+16
d   1.429688e+00  1.037815e+16  1.038701e-77  1.037815e+16
d   1.477344e+00  6.976641e+15  1.009307e-71  6.976641e+15
d   1.525000e+00  4.689998e+15  6.227153e-66  4.689998e+15
d   1.572656e+00  3.152818e+15  2.439433e-60  3.152818e+15
d   1.620312e+00  2.119460e+15  6.067662e-55  2.119460e+15
d   1.667969e+00  1.424792e+15  9.582683e-50  1.424792e+15
d   1.715625e+00  9.578065e+14  9.609173e-45  9.578065e+14
d   1.763281e+00  6.438787e+14  6.118121e-40  6.438787e+14
d   1.810937e+00  4.328429e+14  2.473337e-35  4.328429e+14
d   1.858594e+00  2.909756e+14  6.348656e-31  2.909756e+14
d   1.906250e+00  1.956063e+14  1.034698e-26  1.956063e+14
d   1.953906e+00  1.314950e+14  1.070726e-22  1.314950e+14
d   2.001562e+00  8.839658e+13  7.035197e-19  8.839658e+13
d   2.049219e+00  5.942398e+13  2.934995e-15  5.942398e+13
d   2.096875e+00  3.994735e+13  7.774488e-12  3.994735e+13
d   2.144531e+00  2.685433e+13  1.307583e-08  2.685433e+13
d   2.192187e+00  1.805263e+13  1.396369e-05  1.805263e+13
d   2.239844e+00  1.213576e+13  9.468125e-03  1.213576e+13
d   2.287500e+00  8.158177e+12  4.076252e+00  8.158177e+12
d   2.335156e+00  5.484277e+12  1.114272e+03  5.484277e+12
d   2.382812e+00  3.686767e+12  1.933993e+05  3.686767e+12
d   2.430469e+00  2.478403e+12  2.131334e+07  2.478425e+12
d   2.478125e+00  1.666089e+12  1.491356e+09  1.667581e+12
d   2.525781e+00  1.120017e+12  6.625891e+10  1.186276e+12
d   2.573437e+00  7.529234e+11  1.869134e+12  2.622058e+12
d   2.621094e+00  5.061475e+11  3.347880e+13  3.398494e+13
d   2.668750e+00  3.402541e+11  3.807434e+14  3.810837e+14
d   2.716406e+00  2.287334e+11  2.749338e+15  2.749567e+15
d   2.764062e+00  1.537644e+11  1.260541e+16  1.260557e+16
d   2.811719e+00  1.033671e+11  3.669604e+16  3.669614e+16
d   2.859375e+00  6.948779e+10  6.782885e+16  6.782892e+16
d   2.907031e+00  4.671268e+10  7.960547e+16  7.960551e+16
d   2.954687e+00  3.140227e+10  5.932047e+16  5.932050e+16
d   3.002344e+00  2.110996e+10  2.806722e+16  2.806724e+16
